商品名称,类别,规格,单价(元),能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水(g/100g)
铁观音,茶酒,100g/罐,68.0,300,24.0,3.5,40.0
普洱茶(熟普),茶酒,100g/饼,45.0,295,22.0,3.0,45.0
茉莉花茶,茶酒,100g/袋,25.0,300,23.0,3.0,42.0
速溶咖啡(纯黑),茶酒,100g/罐,39.0,350,12.0,0.5,40.0
挂耳咖啡,茶酒,10g×10包,25.0,250,8.0,0.5,25.0
青岛啤酒,茶酒,500ml/罐,4.5,42,0.4,0,3.4
雪花啤酒,茶酒,500ml/罐,4.0,40,0.4,0,3.3
燕京啤酒,茶酒,500ml/罐,4.0,40,0.4,0,3.3
哈尔滨啤酒,茶酒,500ml/罐,4.0,40,0.4,0,3.3
茅台(53度),茶酒,500ml/瓶,1499.0,300,0,0,0
五粮液(52度),茶酒,500ml/瓶,1099.0,300,0,0,0
泸州老窖(52度),茶酒,500ml/瓶,299.0,300,0,0,0
牛栏山二锅头(42度),茶酒,500ml/瓶,15.0,280,0,0,0
长城干红葡萄酒,茶酒,750ml/瓶,69.0,85,0.1,0,2.0
张裕干红,茶酒,750ml/瓶,89.0,85,0.1,0,2.0
RIO锐澳鸡尾酒,茶酒,330ml/罐,8.5,80,0,0,12.0
梅见青梅酒,茶酒,330ml/瓶,19.9,90,0,0,14.0
农夫山泉气泡茶,茶酒,450ml/瓶,6.0,20,0,0,5.0
茶π柠檬红茶,茶酒,500ml/瓶,5.5,48,0,0,12.0
绿豆,杂粮干货,500g/袋,7.0,316,21.6,0.8,62.0
红豆,杂粮干货,500g/袋,8.0,309,20.2,0.6,63.4
黄豆,杂粮干货,500g/袋,7.5,390,35.0,16.0,34.2
黑豆,杂粮干货,500g/袋,10.0,401,36.0,15.9,33.6
薏米,杂粮干货,500g/袋,9.0,361,12.8,3.3,71.1
莲子,杂粮干货,200g/袋,19.9,344,17.2,2.0,67.2
银耳,杂粮干货,100g/袋,15.0,200,10.0,1.4,67.3
百合(干),杂粮干货,100g/袋,12.0,200,8.0,0.5,42.0
枸杞,杂粮干货,250g/袋,25.0,258,13.9,1.5,64.1
燕麦(整粒),杂粮干货,500g/袋,10.0,367,15.0,6.7,61.0
高粱米,杂粮干货,500g/袋,8.0,351,10.4,3.1,74.7
荞麦米,杂粮干货,500g/袋,10.0,337,9.3,2.3,73.0
鹰嘴豆,杂粮干货,500g/袋,15.0,364,19.3,6.0,60.7
赤小豆,杂粮干货,500g/袋,8.5,310,20.5,0.6,62.0
芝麻(白),杂粮干货,200g/袋,10.0,559,19.1,46.1,24.0
扁桃仁,杂粮干货,200g/袋,18.0,590,21.0,50.0,20.0
安佳黄油(家庭装),乳制品,454g/块,62.5,717,0.9,81.1,0.1
芬达橙味(家庭装),饮料,500ml/瓶,5.7,42,0,0,10.5
统一老坛酸菜面(家庭装),方便食品,120g/袋,8.5,450,8.5,18.5,60.2
湾仔码头鲜虾云吞(家庭装),速冻食品,480g/袋,43.5,225,8.8,7.5,30.5
洽洽原味瓜子(家庭装),零食,98g/袋,15.0,606,22.6,53.4,12.5
即食鸡胸肉(水煮)(家庭装),主食,100g/袋,18.8,115,25.0,1.5,2.0
鸭腿(家庭装),肉类,500g/份,21.8,240,16.0,19.0,0
螃蟹(家庭装),水产,500g/份,66.5,95,14.0,3.5,2.5
青椒(家庭装),蔬菜,500g/份,7.6,22,1.0,0.2,4.6
草莓(家庭装),水果,500g/份,22.8,32,1.0,0.2,7.1
鸡蛋(普通)(家庭装),蛋类,500g/盒(约8个),10.4,144,13.3,8.8,2.8
太太乐鸡精(家庭装),调味品,250g/袋,16.9,240,10.0,1.0,46.0
金龙鱼大豆油(家庭装),食用油,900ml/瓶,24.5,899,0,99.9,0
南豆腐(家庭装),豆制品,400g/盒,7.6,62,6.5,3.0,2.5
达利园蛋黄派(家庭装),烘焙,100g/盒,12.3,440,5.0,20.0,60.0
薄荷糖(家庭装),糖果,100g/袋,11.4,400,0,0,98.0
开心果(家庭装),坚果,500g/份,85.5,614,20.6,53.0,21.9
光明冰砖(家庭装),冰淇淋,100g/块,8.5,200,3.0,9.0,27.0
梅菜扣肉罐头(家庭装),罐头速食,340g/罐,32.1,300,12.0,26.0,6.0
立顿红茶(家庭装),茶酒,2g×25包,30.2,0,0,0,0
高粱米(家庭装),杂粮干货,500g/袋,15.2,351,10.4,3.1,74.7
三元纯牛奶(家庭装),乳制品,250ml/盒,7.6,61,3.1,3.5,4.9
星巴克罐装拿铁(家庭装),饮料,220ml/罐,16.1,52,2.0,2.0,6.0
白象大骨汤面(家庭装),方便食品,110g/袋,7.6,455,8.6,19.0,59.5
安井手抓饼(家庭装),速冻食品,500g/袋(10片),24.5,300,7.0,12.0,40.0
咪咪虾条(家庭装),零食,20g/袋,2.8,530,6.0,30.0,60.0
全麦面粉(家庭装),主食,1kg/袋,18.8,340,12.0,2.0,71.0
牛腱子(家庭装),肉类,500g/份,72.2,110,20.0,3.0,1.0
花蛤(家庭装),水产,500g/份,15.2,62,10.0,1.1,2.8
黄瓜(家庭装),蔬菜,500g/根,5.7,15,0.8,0.2,2.9
橘子(家庭装),水果,500g/份,9.3,44,0.7,0.1,10.2
鹌鹑蛋(家庭装),蛋类,500g/份,22.8,160,12.8,11.1,2.1
中盐加碘盐(家庭装),调味品,400g/袋,3.8,0,0,0,0
鲁花菜籽油(家庭装),食用油,5L/桶,189.8,899,0,99.9,0
毛豆(家庭装),豆制品,500g/份,15.2,123,13.1,5.0,10.5
康师傅3+2饼干(家庭装),烘焙,100g/盒,10.4,520,6.0,27.0,63.0
徐福记软糖(家庭装),糖果,100g/袋,14.2,380,2.0,0.5,92.0
花生米(家庭装),坚果,500g/份,22.8,567,25.0,44.0,17.0
哈根达斯(家庭装),冰淇淋,81g/杯,66.5,270,4.0,17.0,25.0
红烧猪肉罐头(家庭装),罐头速食,397g/罐,30.2,320,15.0,28.0,3.0
立顿绿茶(家庭装),茶酒,2g×25包,30.2,0,0,0,0
扁桃仁(家庭装),杂粮干货,200g/袋,34.2,590,21.0,50.0,20.0
飞鹤星飞帆奶粉(家庭装),乳制品,900g/罐,471.2,510,20.0,22.0,58.0
农夫山泉NFC橙汁(家庭装),饮料,300ml/瓶,18.8,48,0.7,0.2,11.0
今麦郎一桶半(家庭装),方便食品,110g/桶,8.5,458,8.7,19.2,59.8
思念春卷(家庭装),速冻食品,300g/袋,18.8,280,6.0,11.0,38.0
百草味牛肉干(家庭装),零食,100g/袋,37.8,290,26.0,8.5,28.0
糙米(家庭装),主食,1kg/袋,24.5,348,7.7,2.7,76.5
牛里脊(家庭装),肉类,500g/份,79.8,107,22.0,1.5,0.5
生蚝(家庭装),水产,500g/份,28.5,73,10.9,1.5,3.5
木耳(干)(家庭装),蔬菜,100g/袋,24.5,265,12.1,1.5,65.6
牛油果(家庭装),水果,个,18.8,160,2.0,14.7,8.5
鸭蛋(家庭装),蛋类,500g/盒(约6个),15.2,180,12.6,13.0,3.1
海天酱油(家庭装),调味品,500ml/瓶,15.2,64,5.6,0,10.0
北豆腐(家庭装),豆制品,400g/盒,8.5,98,9.2,5.0,3.0
鸡蛋仔(预拌粉)(家庭装),烘焙,500g/袋,30.2,350,8.0,5.0,65.0
棉花糖(家庭装),糖果,100g/袋,12.3,330,1.0,0,80.0
每日坚果(混合)(家庭装),坚果,105g/盒,18.8,560,12.0,40.0,35.0
伊利巧乐兹(家庭装),冰淇淋,75g/支,7.6,280,3.0,15.0,33.0
梅林午餐肉(家庭装),罐头速食,340g/罐,25.6,235,12.5,16.5,7.5
农夫山泉气泡茶(家庭装),茶酒,450ml/瓶,11.4,20,0,0,5.0
黑豆(家庭装),杂粮干货,500g/袋,19.0,401,36.0,15.9,33.6
旺仔牛奶(家庭装),乳制品,245ml/罐,10.4,85,2.5,2.8,13.0
宝矿力水特(家庭装),饮料,500ml/瓶,10.4,25,0,0,6.2
格力高百醇(家庭装),零食,48g/盒,12.3,520,6.0,28.0,60.0
挂面(龙须)(家庭装),主食,500g/袋,10.4,355,11.5,1.5,74.0
鱿鱼(家庭装),水产,500g/份,34.2,92,15.6,1.0,3.0
茄子(家庭装),蔬菜,500g/份,6.6,21,1.1,0.2,4.9
菠萝(家庭装),水果,500g/份,9.5,44,0.5,0.1,11.1
咸鸭蛋(熟)(家庭装),蛋类,70g/个,4.8,190,12.7,12.7,6.3
番茄酱(家庭装),调味品,300g/瓶,16.1,90,1.5,0.2,21.0
福临门玉米油(家庭装),食用油,5L/桶,170.8,899,0,99.9,0
豆干(家庭装),豆制品,250g/袋,12.3,140,14.0,6.0,6.0
旺仔QQ糖(家庭装),糖果,100g/袋,8.5,340,5.0,0,82.0
巴旦木(家庭装),坚果,500g/份,66.5,590,21.0,50.0,20.0
八喜(家庭装),冰淇淋,90g/杯,22.8,240,3.5,14.0,26.0
茄汁黄豆罐头(家庭装),罐头速食,425g/罐,16.1,110,5.0,1.0,19.0
牛栏山二锅头(42度)(家庭装),茶酒,500ml/瓶,28.5,280,0,0,0
